单位名称,类别,置信度,理由,行业,最近年度总资产,净资产,年度净利润,净现金流,财务数据年份,实控人姓名,实控人国籍,出现年份,出现次数,毕业去向样例
万控智造股份有限公司,大型民企,高,该公司为A股上市公司，主营电气机柜，属于大型民营企业。,电气机械和器材制造业,未知,未知,未知,未知,未知,未知,中国,2023,2,签就业协议形式就业
三只松鼠（无为）有限责任公司,大型民企,高,三只松鼠为知名上市公司，其无为子公司属于大型民营企业。,食品制造业,未知,未知,未知,未知,未知,章燎原,中国,2023,1,签劳动合同形式就业
上海倍缇亚科技有限公司,中小民企,中,根据公开信息，该公司为自然人投资或控股的有限责任公司，规模较小，属于中小型民营企业。,科技推广和应用服务业,未知,未知,未知,未知,未知,未知,未知,2023,1,签就业协议形式就业
上海复旦微电子集团股份有限公司,大型民企,高,该公司为上市公司（股票代码：688385），无实际控制人，属于大型民营高科技企业。,集成电路设计,约80亿元,约50亿元,约7亿元,未知,2023,无实际控制人,不适用,2023,1,签劳动合同形式就业
上海工程技术大学,高校/升学,高,毕业去向或单位名称指向升学/高校,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,2023,1,境内升学
上海市军天湖监狱,机关事业单位/基层项目,高,监狱是国家刑罚执行机关，属于机关事业单位。,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,2023,1,签就业协议形式就业
上海师范大学,高校/升学,高,毕业去向或单位名称指向升学/高校,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,2024,1,境内升学
上海泷得自动化技术有限公司,中小民企,中,根据公开信息，该公司为自然人投资或控股的有限责任公司，规模较小，属于中小型民营企业。,自动化技术,未知,未知,未知,未知,未知,未知,未知,2023,2,签劳动合同形式就业
上海海洋大学,高校/升学,高,毕业去向或单位名称指向升学/高校,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,2024,2,境内升学
上海电机学院,高校/升学,高,毕业去向或单位名称指向升学/高校,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,2024,1,境内升学
上海百准测控技术有限公司,中小民企,中,根据公开信息，该公司为自然人投资或控股的有限责任公司，规模较小，属于中小型民营企业。,测控技术,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
上海盛图南建筑机械有限公司,中小民企,中,根据公开信息，该公司为自然人投资或控股的有限责任公司，规模较小，属于中小型民营企业。,建筑机械,未知,未知,未知,未知,未知,未知,未知,2023,1,签就业协议形式就业
上海盛鼎铭教育科技有限公司,中小民企,中,根据公开信息，该公司为自然人投资或控股的有限责任公司，规模较小，属于中小型民营企业。,教育科技,未知,未知,未知,未知,未知,未知,未知,2023,1,签就业协议形式就业
上海芬能自动化技术股份有限公司,中小民企,中,该公司为股份有限公司（非上市），根据公开信息，其规模未达到大型企业标准，属于中小型民营企业。,自动化技术,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
东北电力大学,高校/升学,高,毕业去向或单位名称指向升学/高校,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,"2023,2024",2,境内升学
东华大学,高校/升学,高,毕业去向或单位名称指向升学/高校,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,2023,1,境内升学
东莞市台铃车业有限公司,大型民企,高,台铃是知名电动两轮车品牌，企业规模较大，属于大型民营企业。,电动两轮车制造,未知,未知,未知,未知,未知,未知,中国,2023,1,签劳动合同形式就业
东阳市市场监督管理局（东阳市知识产权局、东阳市木雕红木家居产业发展局）,机关事业单位/基层项目,高,市场监督管理局属于政府机关单位。,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,2023,1,签劳动合同形式就业
中国农业银行股份有限公司安徽省分行,国企,高,中国农业银行是国有控股大型商业银行，其省分行属于国企分支机构。,银行金融,未知,未知,未知,未知,未知,不适用,不适用,2023,1,签就业协议形式就业
中国农业银行股份有限公司庐江白湖支行,国企,高,中国农业银行是国有控股大型商业银行，其支行属于国企分支机构。,银行金融,未知,未知,未知,未知,未知,不适用,不适用,2023,1,签就业协议形式就业
中国平安财产保险股份有限公司安徽分公司,大型民企,高,中国平安是大型民营金融保险集团，其分公司属于大型民企分支机构。,财产保险,未知,未知,未知,未知,未知,未知,中国,2024,1,签就业协议形式就业
中国核工业第二二建设有限公司,国企,高,隶属于中国核工业集团，属于中央国有企业。,核工业工程建设,未知,未知,未知,未知,未知,不适用,不适用,2023,1,签劳动合同形式就业
中国移动通信集团安徽有限公司铜陵分公司,国企,高,中国移动是中央国有企业，其分公司属于国企分支机构。,电信运营,未知,未知,未知,未知,未知,不适用,不适用,2023,1,签就业协议形式就业
中国能源建设集团安徽电力建设第二工程有限公司,国企,高,隶属于中国能源建设集团，属于中央国有企业。,电力工程建设,未知,未知,未知,未知,未知,不适用,不适用,"2023,2024",26,签就业协议形式就业
中国邮政储蓄银行股份有限公司滁州市分行,国企,高,中国邮政储蓄银行是国有大型商业银行，其分行属于国有企业。,金融业,未知,未知,未知,未知,未知,不适用,不适用,2023,1,签劳动合同形式就业
中国邮政集团有限公司邯郸市分公司,国企,高,中国邮政集团有限公司是国有独资公司，其分公司属于国有企业。,邮政业,未知,未知,未知,未知,未知,不适用,不适用,2024,1,签就业协议形式就业
中国铁路上海局集团有限公司,国企,高,中国铁路上海局集团有限公司是中国国家铁路集团有限公司管理的国有企业。,铁路运输业,未知,未知,未知,未知,未知,不适用,不适用,"2023,2024",5,签劳动合同形式就业 / 签就业协议形式就业
中国铁路上海局集团有限公司上海电务段,国企,高,上海电务段是中国铁路上海局集团有限公司的下属单位，属于国有企业。,铁路运输业,未知,未知,未知,未知,未知,不适用,不适用,2023,1,签就业协议形式就业
中国银行股份有限公司铜陵分行,国企,高,中国银行是国有控股大型商业银行，其分行属于国有企业。,金融业,未知,未知,未知,未知,未知,不适用,不适用,2024,1,签就业协议形式就业
中安联合煤化有限责任公司,国企,高,中安联合煤化有限责任公司是由中国石化和安徽省皖北煤电集团等国有企业合资成立，属于国有企业。,煤化工,未知,未知,未知,未知,未知,不适用,不适用,2024,1,签就业协议形式就业
中山市东升求实学校,中小民企,中,中山市东升求实学校是一所民办学校，通常由民间资本举办，属于中小民企。,教育,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
中煤西北能源化工集团有限公司,国企,高,中煤西北能源化工集团有限公司是中国中煤能源集团有限公司的全资子公司，属于国有企业。,能源化工,未知,未知,未知,未知,未知,不适用,不适用,2023,1,签劳动合同形式就业
中盐安徽红四方股份有限公司,国企,高,控股股东为中国盐业集团有限公司，属于中央国有企业。,化工（化肥、氯碱化工）,未知,未知,未知,未知,未知,不适用,不适用,2023,1,签劳动合同形式就业
中科圣杰（广东）环境科技有限公司,中小民企,中,名称含'中科'但无明确国资背景，推测为民营中小企业。,环境科技,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
中科软科技股份有限公司,大型民企,高,A股上市公司（603927），无实际控制人，属于大型民营软件企业。,软件和信息技术服务业,未知,未知,未知,未知,未知,无实际控制人,不适用,2024,1,签劳动合同形式就业
中能建建筑集团有限公司,国企,高,中国能源建设集团有限公司下属企业，属于中央国有企业。,建筑业,未知,未知,未知,未知,未知,不适用,不适用,2023,1,签就业协议形式就业
