单位名称,类别,置信度,理由,行业,最近年度总资产,净资产,年度净利润,净现金流,财务数据年份,实控人姓名,实控人国籍,出现年份,出现次数,毕业去向样例
上海倍缇亚科技有限公司,中小民企,中,根据公开信息，该公司为自然人投资或控股的有限责任公司，规模较小，属于中小型民营企业。,科技推广和应用服务业,未知,未知,未知,未知,未知,未知,未知,2023,1,签就业协议形式就业
上海泷得自动化技术有限公司,中小民企,中,根据公开信息，该公司为自然人投资或控股的有限责任公司，规模较小，属于中小型民营企业。,自动化技术,未知,未知,未知,未知,未知,未知,未知,2023,2,签劳动合同形式就业
上海百准测控技术有限公司,中小民企,中,根据公开信息，该公司为自然人投资或控股的有限责任公司，规模较小，属于中小型民营企业。,测控技术,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
上海盛图南建筑机械有限公司,中小民企,中,根据公开信息，该公司为自然人投资或控股的有限责任公司，规模较小，属于中小型民营企业。,建筑机械,未知,未知,未知,未知,未知,未知,未知,2023,1,签就业协议形式就业
上海盛鼎铭教育科技有限公司,中小民企,中,根据公开信息，该公司为自然人投资或控股的有限责任公司，规模较小，属于中小型民营企业。,教育科技,未知,未知,未知,未知,未知,未知,未知,2023,1,签就业协议形式就业
上海芬能自动化技术股份有限公司,中小民企,中,该公司为股份有限公司（非上市），根据公开信息，其规模未达到大型企业标准，属于中小型民营企业。,自动化技术,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
中山市东升求实学校,中小民企,中,中山市东升求实学校是一所民办学校，通常由民间资本举办，属于中小民企。,教育,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
中科圣杰（广东）环境科技有限公司,中小民企,中,名称含'中科'但无明确国资背景，推测为民营中小企业。,环境科技,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
中认尚动（上海）检测技术有限公司,国企,中,名称含'中认'，可能为中国质量认证中心下属企业，推测为国有企业。,检测技术服务,未知,未知,未知,未知,未知,不适用,不适用,2023,1,签劳动合同形式就业
义乌市六阖贸易有限公司,中小民企,中,根据公开信息，该公司为自然人投资或控股的有限责任公司，规模较小，属于中小型民营企业。,批发和零售业,未知,未知,未知,未知,未知,未知,未知,2023,2,签劳动合同形式就业
乐风（山东）电力科技有限公司,中小民企,中,根据公开信息，该公司为自然人投资或控股的有限责任公司，规模较小，属于中小型民营企业。,电力科技,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
五河县万源建筑装饰工程有限公司,中小民企,中,根据公开信息，该公司为自然人投资或控股的有限责任公司，规模较小，属于中小型民营企业。,建筑装饰,未知,未知,未知,未知,未知,未知,未知,2023,1,签就业协议形式就业
亳州市君加建材有限公司,中小民企,中,根据公开信息，该公司为自然人投资或控股的有限责任公司，规模较小，属于中小型民营企业。,建材批发,未知,未知,未知,未知,未知,未知,未知,2024,3,签就业协议形式就业
六安市美一瓦新能源科技有限公司,中小民企,中,注册于六安市的小微企业，名称含新能源科技，推测为中小民营企业。,新能源科技,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
六安市裕安区素语家具经营经营部,中小民企,中,个体工商户或小微企业，属于中小民营企业。,家具零售,未知,未知,未知,未知,未知,未知,未知,2023,3,签劳动合同形式就业 / 自主创业
兰州中亿达工程技术有限公司,中小民企,中,名称含'工程技术'且为有限责任公司，无国资背景，推测为中小型民营企业。,工程技术服务,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
兰州聚源信息科技有限公司,中小民企,中,名称含'信息科技'且为有限责任公司，无国资背景，推测为中小型民营企业。,信息技术服务,未知,未知,未知,未知,未知,未知,未知,2024,2,签就业协议形式就业
凤台县联信商贸有限公司,中小民企,中,县级商贸有限公司，无国资背景，推测为中小型民营企业。,商贸,未知,未知,未知,未知,未知,未知,未知,2024,2,签就业协议形式就业
前锦网络信息技术（上海）有限公司苏州分公司,外企,中,前锦网络信息技术（上海）有限公司为外资企业（51job），其苏州分公司属外企分支机构。,人力资源服务/互联网,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
北京中恒博瑞数字电力科技有限公司,中小民企,中,名称含'数字电力科技'且为有限责任公司，无国资背景，推测为中小型民营企业。,电力科技/信息技术,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
北京云锦汇智信息技术有限公司,中小民企,中,名称含'信息技术'且为有限责任公司，无国资背景，推测为中小型民营企业。,信息技术服务,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
北京金易居建筑装饰工程有限公司,中小民企,中,名称含'建筑装饰工程'且为有限责任公司，无国资背景，推测为中小型民营企业。,建筑装饰,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
华力高科（安徽）环保能源有限公司,中小民企,中,名称含'华力高科'，无国资或外资背景，推测为民营中小企业。,环保能源,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
南京中安半导体设备有限责任公司,中小民企,中,名称含'中安半导体'，无国资或外资背景，推测为民营中小企业。,半导体设备,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
南京华锐兴数控技术有限责任公司,中小民企,中,名称含'华锐兴数控'，无国资或外资背景，推测为民营中小企业。,数控技术,未知,未知,未知,未知,未知,未知,未知,2024,1,签劳动合同形式就业
南京威布三维科技有限公司,中小民企,中,名称含'威布三维科技'，无国资或外资背景，推测为民营中小企业。,三维科技,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
